timestep,episode,reward,epsilon,decision,elapsed_time
1,1,0.6633333333333333,0.995,log_and_continue,0.000251
2,2,0.76,0.990025,discard,0.000388
3,3,0.76,0.985074875,discard,0.000513
4,4,0.76,0.9801495006250001,request_rescan,0.000625
5,5,0.76,0.9752487531218751,discard,0.000734
6,6,0.9433333333333334,0.9703725093562657,request_rescan,0.000836
7,7,0.6633333333333333,0.9655206468094844,log_and_continue,0.000948
8,8,0.6633333333333333,0.960693043575437,log_and_continue,0.001059
9,9,0.6633333333333333,0.9558895783575597,log_and_continue,0.001168
10,10,0.9433333333333334,0.9511101304657719,request_rescan,0.001274
11,11,0.9433333333333334,0.946354579813443,request_rescan,0.001374
12,12,0.9433333333333334,0.9416228069143757,discard,0.001481
13,13,0.9433333333333334,0.9369146928798039,request_rescan,0.001579
14,14,0.76,0.9322301194154049,log_and_continue,0.001676
15,15,0.76,0.9275689688183278,discard,0.001779
16,16,0.76,0.9229311239742362,discard,0.001879
17,17,0.76,0.918316468354365,request_rescan,0.001981
18,18,0.76,0.9137248860125932,discard,0.002078
19,19,0.76,0.9091562615825302,log_and_continue,0.002175
20,20,0.76,0.9046104802746175,discard,0.002271
21,21,0.76,0.9000874278732445,log_and_continue,0.002369
22,22,0.76,0.8955869907338783,request_rescan,0.002475
23,23,0.76,0.8911090557802088,log_and_continue,0.002574
24,24,0.9433333333333334,0.8866535105013078,request_rescan,0.002672
25,25,0.9433333333333334,0.8822202429488013,request_rescan,0.002771
26,26,0.76,0.8778091417340573,discard,0.002867
27,27,0.9433333333333334,0.8734200960253871,discard,0.002967
28,28,0.76,0.8690529955452602,log_and_continue,0.003061
29,29,0.9433333333333334,0.8647077305675338,request_rescan,0.003154
30,30,0.9433333333333334,0.8603841919146962,request_rescan,0.003252
31,31,0.9433333333333334,0.8560822709551227,request_rescan,0.003348
32,32,0.76,0.851801859600347,log_and_continue,0.003442
33,33,0.9433333333333334,0.8475428503023453,discard,0.003551
34,34,0.9433333333333334,0.8433051360508336,discard,0.003654
35,35,0.6633333333333333,0.8390886103705794,log_and_continue,0.003757
36,36,0.9433333333333334,0.8348931673187264,discard,0.003857
37,37,0.76,0.8307187014821328,request_rescan,0.00396
38,38,0.76,0.8265651079747222,request_rescan,0.004057
39,39,0.76,0.8224322824348486,discard,0.004154
40,40,0.6633333333333333,0.8183201210226743,log_and_continue,0.004256
41,41,0.9433333333333334,0.8142285204175609,discard,0.004358
42,42,0.9433333333333334,0.810157377815473,discard,0.004458
43,43,0.76,0.8061065909263957,request_rescan,0.004553
44,44,0.76,0.8020760579717637,log_and_continue,0.004656
45,45,0.76,0.798065677681905,log_and_continue,0.004759
46,46,0.76,0.7940753492934954,request_rescan,0.004857
47,47,0.76,0.7901049725470279,discard,0.004951
48,48,0.9433333333333334,0.7861544476842928,request_rescan,0.005045
49,49,0.9433333333333334,0.7822236754458713,discard,0.005139
50,50,0.6633333333333333,0.778312557068642,log_and_continue,0.005231
51,51,0.76,0.7744209942832988,discard,0.00534
52,52,0.9433333333333334,0.7705488893118823,request_rescan,0.005471
53,53,0.76,0.7666961448653229,log_and_continue,0.005569
54,54,0.76,0.7628626641409962,request_rescan,0.005666
55,55,0.9433333333333334,0.7590483508202912,discard,0.005765
56,56,0.9433333333333334,0.7552531090661897,request_rescan,0.005858
57,57,0.76,0.7514768435208588,log_and_continue,0.005951
58,58,0.9433333333333334,0.7477194593032545,request_rescan,0.006045
59,59,0.9433333333333334,0.7439808620067382,discard,0.006141
60,60,0.9433333333333334,0.7402609576967045,request_rescan,0.006237
61,61,0.76,0.736559652908221,discard,0.006333
62,62,0.9433333333333334,0.7328768546436799,discard,0.006426
63,63,0.76,0.7292124703704616,log_and_continue,0.006523
64,64,0.76,0.7255664080186093,discard,0.006619
65,65,0.9433333333333334,0.7219385759785162,request_rescan,0.006716
66,66,0.9433333333333334,0.7183288830986236,request_rescan,0.006812
67,67,0.9433333333333334,0.7147372386831305,request_rescan,0.006913
68,68,0.6633333333333333,0.7111635524897149,log_and_continue,0.007021
69,69,0.9433333333333334,0.7076077347272662,request_rescan,0.007125
70,70,0.76,0.7040696960536299,request_rescan,0.007223
71,71,0.9433333333333334,0.7005493475733617,request_rescan,0.007322
72,72,0.9433333333333334,0.697046600835495,discard,0.007416
73,73,0.9433333333333334,0.6935613678313175,request_rescan,0.007519
74,74,0.9433333333333334,0.6900935609921609,discard,0.007623
75,75,0.9433333333333334,0.6866430931872001,request_rescan,0.007728
76,76,0.9433333333333334,0.6832098777212641,request_rescan,0.00787
77,77,0.76,0.6797938283326578,discard,0.00797
78,78,0.9433333333333334,0.6763948591909945,request_rescan,0.008071
79,79,0.76,0.6730128848950395,discard,0.008175
80,80,0.9433333333333334,0.6696478204705644,discard,0.008277
81,81,0.9433333333333334,0.6662995813682115,request_rescan,0.008381
82,82,0.9433333333333334,0.6629680834613705,discard,0.008485
83,83,0.9433333333333334,0.6596532430440636,request_rescan,0.008581
84,84,0.76,0.6563549768288433,log_and_continue,0.008677
85,85,0.76,0.653073201944699,discard,0.008771
86,86,0.6633333333333333,0.6498078359349755,log_and_continue,0.008871
87,87,0.76,0.6465587967553006,log_and_continue,0.008975
88,88,0.9433333333333334,0.6433260027715241,request_rescan,0.009071
89,89,0.9433333333333334,0.6401093727576664,discard,0.009171
90,90,0.9433333333333334,0.6369088258938781,request_rescan,0.009269
91,91,0.9433333333333334,0.6337242817644086,discard,0.009366
92,92,0.6633333333333333,0.6305556603555866,log_and_continue,0.009465
93,93,0.76,0.6274028820538087,discard,0.00957
94,94,0.9433333333333334,0.6242658676435396,discard,0.009674
95,95,0.9433333333333334,0.6211445383053219,request_rescan,0.00977
96,96,0.9433333333333334,0.6180388156137953,request_rescan,0.009871
97,97,0.9433333333333334,0.6149486215357263,request_rescan,0.009978
98,98,0.76,0.6118738784280476,request_rescan,0.010085
99,99,0.76,0.6088145090359074,discard,0.010189
100,100,0.76,0.6057704364907278,request_rescan,0.010288
101,101,0.76,0.6027415843082742,request_rescan,0.010419
102,102,0.6633333333333333,0.5997278763867329,log_and_continue,0.010524
103,103,0.9433333333333334,0.5967292370047992,request_rescan,0.010627
104,104,0.76,0.5937455908197752,discard,0.010732
105,105,0.76,0.5907768628656763,log_and_continue,0.010832
106,106,0.6633333333333333,0.5878229785513479,log_and_continue,0.010934
107,107,0.9433333333333334,0.5848838636585911,request_rescan,0.011036
108,108,0.9433333333333334,0.5819594443402982,discard,0.011135
109,109,0.76,0.5790496471185967,discard,0.011232
110,110,0.9433333333333334,0.5761543988830038,request_rescan,0.011334
111,111,0.6633333333333333,0.5732736268885887,log_and_continue,0.011433
